,Date,Open,High,Low,Close,Volume
90,6-Jul-17,143.02,143.5,142.41,142.73,24128782
91,5-Jul-17,143.69,144.79,142.72,144.09,21569557
92,3-Jul-17,144.88,145.3,143.1,143.5,14277848
93,30-Jun-17,144.45,144.96,143.78,144.02,23024107
94,29-Jun-17,144.71,145.13,142.28,143.68,31499368
95,28-Jun-17,144.49,146.11,143.16,145.83,22082432
96,27-Jun-17,145.01,146.16,143.62,143.73,24761891
97,26-Jun-17,147.17,148.28,145.38,145.82,25692361
98,23-Jun-17,145.13,147.16,145.11,146.28,35439389
99,22-Jun-17,145.77,146.7,145.12,145.63,19106294
100,21-Jun-17,145.52,146.07,144.61,145.87,21265751
101,20-Jun-17,146.87,146.87,144.94,145.01,24900073
102,19-Jun-17,143.66,146.74,143.66,146.34,32541404
103,16-Jun-17,143.78,144.5,142.2,142.27,50361093
104,15-Jun-17,143.32,144.48,142.21,144.29,32165373
105,14-Jun-17,147.5,147.5,143.84,145.16,31531232
106,13-Jun-17,147.16,147.45,145.15,146.59,34165445
107,12-Jun-17,145.74,146.09,142.51,145.42,72307330
108,9-Jun-17,155.19,155.19,146.02,148.98,64882657
109,8-Jun-17,155.25,155.54,154.4,154.99,21250798
110,7-Jun-17,155.02,155.98,154.48,155.37,21069647
111,6-Jun-17,153.9,155.81,153.78,154.45,26624926
112,5-Jun-17,154.34,154.45,153.46,153.93,25331662
113,2-Jun-17,153.58,155.45,152.89,155.45,27770715
114,1-Jun-17,153.17,153.33,152.22,153.18,16404088
115,31-May-17,153.97,154.17,152.38,152.76,24451164
116,30-May-17,153.42,154.43,153.33,153.67,20126851
117,26-May-17,154.0,154.24,153.31,153.61,21927637
118,25-May-17,153.73,154.35,153.03,153.87,19235598
119,24-May-17,153.84,154.17,152.67,153.34,19219154
120,23-May-17,154.9,154.9,153.31,153.8,19918871
121,22-May-17,154.0,154.58,152.91,153.99,22966437
122,19-May-17,153.38,153.98,152.63,153.06,26960788
123,18-May-17,151.27,153.34,151.13,152.54,33568215
124,17-May-17,153.6,154.57,149.71,150.25,50767678
125,16-May-17,155.94,156.06,154.72,155.47,20048478
126,15-May-17,156.01,156.65,155.05,155.7,26009719
127,12-May-17,154.7,156.42,154.67,156.1,32527017
128,11-May-17,152.45,154.07,152.31,153.95,27255058
129,10-May-17,153.63,153.94,152.11,153.26,25805692
130,9-May-17,153.87,154.88,153.45,153.99,39130363
